Evento ID,Tipo de evento,Magnitud,Vs30,Archivo H1,Ruta H1,Archivo H2,Ruta H2,Archivo V,Ruta V
RSN96_MANAGUA,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN96_MANAGUA_B-ESO090.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN96_MANAGUA_B-ESO090.AT2,RSN96_MANAGUA_B-ESO180.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN96_MANAGUA_B-ESO180.AT2,RSN96_MANAGUA_B-ESODWN.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN96_MANAGUA_B-ESODWN.AT2
RSN100_HOLLISTR,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN100_HOLLISTR_A-SJB033.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN100_HOLLISTR_A-SJB033.AT2,RSN100_HOLLISTR_A-SJB123.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN100_HOLLISTR_A-SJB123.AT2,RSN100_HOLLISTR_A-SJBDWN.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN100_HOLLISTR_A-SJBDWN.AT2
RSN102_NCALIF.AG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN102_NCALIF.AG_D-FRN224.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN102_NCALIF.AG_D-FRN224.AT2,RSN102_NCALIF.AG_D-FRN314.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN102_NCALIF.AG_D-FRN314.AT2,RSN102_NCALIF.AG_D-FRN-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN102_NCALIF.AG_D-FRN-UP.AT2
RSN103_NCALIF.AG,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN103_NCALIF.AG_D-PGS075.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN103_NCALIF.AG_D-PGS075.AT2,RSN103_NCALIF.AG_D-PGS345.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN103_NCALIF.AG_D-PGS345.AT2,RSN103_NCALIF.AG_D-PGSDWN.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN103_NCALIF.AG_D-PGSDWN.AT2
RSN147_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN147_COYOTELK_G02050.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN147_COYOTELK_G02050.AT2,RSN147_COYOTELK_G02140.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN147_COYOTELK_G02140.AT2,RSN147_COYOTELK_G02-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN147_COYOTELK_G02-UP.AT2
RSN148_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN148_COYOTELK_G03050.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN148_COYOTELK_G03050.AT2,RSN148_COYOTELK_G03140.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN148_COYOTELK_G03140.AT2,RSN148_COYOTELK_G03-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN148_COYOTELK_G03-UP.AT2
RSN149_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN149_COYOTELK_G04270.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN149_COYOTELK_G04270.AT2,RSN149_COYOTELK_G04360.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN149_COYOTELK_G04360.AT2,RSN149_COYOTELK_G04-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN149_COYOTELK_G04-UP.AT2
RSN151_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN151_COYOTELK_HVR150.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN151_COYOTELK_HVR150.AT2,RSN151_COYOTELK_HVR240.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN151_COYOTELK_HVR240.AT2,RSN151_COYOTELK_HVR-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN151_COYOTELK_HVR-UP.AT2
RSN152_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN152_COYOTELK_SJ3067.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN152_COYOTELK_SJ3067.AT2,RSN152_COYOTELK_SJ3337.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN152_COYOTELK_SJ3337.AT2,RSN152_COYOTELK_SJ3-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN152_COYOTELK_SJ3-UP.AT2
RSN153_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN153_COYOTELK_SJ5067.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN153_COYOTELK_SJ5067.AT2,RSN153_COYOTELK_SJ5337.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN153_COYOTELK_SJ5337.AT2,RSN153_COYOTELK_SJ5-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN153_COYOTELK_SJ5-UP.AT2
RSN154_COYOTELK,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN154_COYOTELK_SJB213.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN154_COYOTELK_SJB213.AT2,RSN154_COYOTELK_SJB303.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN154_COYOTELK_SJB303.AT2,RSN154_COYOTELK_SJB-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN154_COYOTELK_SJB-UP.AT2
RSN193_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN193_IMPVALL.A_A-BCR140.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN193_IMPVALL.A_A-BCR140.AT2,RSN193_IMPVALL.A_A-BCR230.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN193_IMPVALL.A_A-BCR230.AT2,RSN193_IMPVALL.A_A-BCR-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN193_IMPVALL.A_A-BCR-UP.AT2
RSN194_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN194_IMPVALL.A_A-BRA225.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN194_IMPVALL.A_A-BRA225.AT2,RSN194_IMPVALL.A_A-BRA315.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN194_IMPVALL.A_A-BRA315.AT2,RSN194_IMPVALL.A_A-BRA-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN194_IMPVALL.A_A-BRA-UP.AT2
RSN195_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN195_IMPVALL.A_A-CXO225.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN195_IMPVALL.A_A-CXO225.AT2,RSN195_IMPVALL.A_A-CXO315.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN195_IMPVALL.A_A-CXO315.AT2,RSN195_IMPVALL.A_A-CXO-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN195_IMPVALL.A_A-CXO-UP.AT2
RSN196_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN196_IMPVALL.A_A-DLT262.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN196_IMPVALL.A_A-DLT262.AT2,RSN196_IMPVALL.A_A-DLT352.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN196_IMPVALL.A_A-DLT352.AT2,RSN196_IMPVALL.A_A-DLTDWN.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN196_IMPVALL.A_A-DLTDWN.AT2
RSN197_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN197_IMPVALL.A_A-E01140.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN197_IMPVALL.A_A-E01140.AT2,RSN197_IMPVALL.A_A-E01230.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN197_IMPVALL.A_A-E01230.AT2,RSN197_IMPVALL.A_A-E01-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN197_IMPVALL.A_A-E01-UP.AT2
RSN198_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN198_IMPVALL.A_A-E10050.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN198_IMPVALL.A_A-E10050.AT2,RSN198_IMPVALL.A_A-E10320.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN198_IMPVALL.A_A-E10320.AT2,RSN198_IMPVALL.A_A-E10-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN198_IMPVALL.A_A-E10-UP.AT2
RSN202_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN202_IMPVALL.A_A-E04140.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN202_IMPVALL.A_A-E04140.AT2,RSN202_IMPVALL.A_A-E04230.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN202_IMPVALL.A_A-E04230.AT2,RSN202_IMPVALL.A_A-E04-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN202_IMPVALL.A_A-E04-UP.AT2
RSN203_IMPVALL.A,1 Stiker Slip (SS),Mag. 4-6,Vs30. 200-400,RSN203_IMPVALL.A_A-E05140.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 2/RSN203_IMPVALL.A_A-E05140.AT2,RSN203_IMPVALL.A_A-E05230.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Horizontal 1/RSN203_IMPVALL.A_A-E05230.AT2,RSN203_IMPVALL.A_A-E05-UP.AT2,/Users/benjaminvaca/Documents/USFQ/semestre7/machine_learning/proyecto/Base-sismos-2024/1 Stiker Slip (SS)/Mag. 4-6/Vs30. 200-400/Componente Vertical/RSN203_IMPVALL.A_A-E05-UP.AT2
